action,landmark_pitch,landmark_yaw
CHUA CHON,-5.3,-0.2
CHUA CHON,-6.3,+3.5
CHUA CHON,-6.6,+4.0
CHUA CHON,-5.9,+2.9
CHUA CHON,-5.4,+3.6
CHUA CHON,-4.7,+3.1
CHUA CHON,-5.8,+4.0
CHUA CHON,-5.4,+3.7
CHUA CHON,-5.5,+2.9
CHUA CHON,-5.5,+3.4
CHUA CHON,-5.7,+3.9
CHUA CHON,-5.7,+3.9
CHUA CHON,-5.1,+3.4
CHUA CHON,-4.9,+3.7
CHUA CHON,-4.0,+3.1
CHUA CHON,-4.0,+6.6
CHUA CHON,-4.4,+9.0
CHUA CHON,-9.7,+8.9
CHUA CHON,-13.6,-16.5
CHUA CHON,-14.3,-21.6
CHUA CHON,-14.1,-18.8
CHUA CHON,-15.8,-14.8
CHUA CHON,-7.5,-7.2
CHUA CHON,+2.1,-12.6
CHUA CHON,+2.8,-16.8
CHUA CHON,+1.7,-15.4
CHUA CHON,-2.8,-15.7
CHUA CHON,-4.1,-14.4
CHUA CHON,-3.9,-11.1
CHUA CHON,+0.4,-11.1
CHUA CHON,-0.7,-12.9
CHUA CHON,-3.1,-9.1
CHUA CHON,-3.7,-13.2
CHUA CHON,-4.7,-11.8
CHUA CHON,-5.5,-9.7
CHUA CHON,-9.6,-8.9
CHUA CHON,-9.2,-9.9
CHUA CHON,-10.6,+0.2
CHUA CHON,-13.4,+0.5
CHUA CHON,-12.1,-0.9
CHUA CHON,-12.2,-5.1
CHUA CHON,-11.1,-6.3
CHUA CHON,-11.0,-5.3
CHUA CHON,-10.0,-7.1
CHUA CHON,-10.6,-7.2
CHUA CHON,-10.9,-8.0
CHUA CHON,-11.2,-9.2
CHUA CHON,-11.4,-9.8
CHUA CHON,-11.3,-10.7
CHUA CHON,-10.4,-10.1
CHUA CHON,-10.8,-10.3
CHUA CHON,-11.0,-10.6
CHUA CHON,-11.2,-10.9
CHUA CHON,-11.5,-10.1
CHUA CHON,-11.5,-9.8
CHUA CHON,-11.3,-10.3
CHUA CHON,-10.4,-11.6
CHUA CHON,-10.6,-10.5
CHUA CHON,-10.3,-10.2
CHUA CHON,-10.4,-11.6
CHUA CHON,-10.2,-12.0
CHUA CHON,-11.0,-10.5
CHUA CHON,-11.1,-13.1
CHUA CHON,-11.6,-12.5
CHUA CHON,-7.7,-12.3
CHUA CHON,+9.1,-3.0
CHUA CHON,+14.2,+2.7
CHUA CHON,+18.5,+3.9
CHUA CHON,+16.1,+10.0
CHUA CHON,+19.7,+8.6
CHUA CHON,+19.3,+7.2
CHUA CHON,+20.2,+8.8
CHUA CHON,+20.3,+10.5
CHUA CHON,+20.6,+10.1
CHUA CHON,+20.3,+9.6
CHUA CHON,+19.9,+10.9
CHUA CHON,+19.1,+10.6
CHUA CHON,+18.9,+8.8
CHUA CHON,+19.5,+8.9
CHUA CHON,+19.6,+9.5
CHUA CHON,+20.4,+9.6
CHUA CHON,+20.6,+10.0
CHUA CHON,+19.2,+9.1
CHUA CHON,+19.8,+8.3
CHUA CHON,+21.0,+8.1
CHUA CHON,+19.8,+9.6
CHUA CHON,+20.7,+14.0
CHUA CHON,+16.9,+15.1
CHUA CHON,+17.3,+18.8
CHUA CHON,+13.3,+6.7
CHUA CHON,+9.9,-10.3
CHUA CHON,+2.6,-32.3
CHUA CHON,-3.8,-53.3
CHUA CHON,+1.4,-19.8
CHUA CHON,+3.4,-23.5
CHUA CHON,+10.9,-38.1
CHUA CHON,+21.0,-42.4
CHUA CHON,+18.2,-24.6
CHUA CHON,+15.5,-4.3
CHUA CHON,+19.7,-0.3
CHUA CHON,+18.5,+1.8
CHUA CHON,+19.8,+0.9
CHUA CHON,+18.7,+2.2
CHUA CHON,+16.3,+1.0
CHUA CHON,+17.2,+1.9
CHUA CHON,+16.9,+1.7
CHUA CHON,+16.8,+2.1
CHUA CHON,+17.4,+2.5
CHUA CHON,+17.3,+3.5
CHUA CHON,+19.1,+2.3
CHUA CHON,+18.5,+2.2
CHUA CHON,+18.7,+3.0
CHUA CHON,+19.5,+3.2
CHUA CHON,+19.1,+3.4
CHUA CHON,+19.4,+2.4
CHUA CHON,+20.1,+2.1
CHUA CHON,+19.6,+0.9
CHUA CHON,+19.8,+1.3
CHUA CHON,+19.5,+1.3
CHUA CHON,+19.8,+1.6
CHUA CHON,+20.2,+1.6
CHUA CHON,+19.3,+1.3
CHUA CHON,+19.4,+1.5
CHUA CHON,+20.4,+1.7
CHUA CHON,+19.7,+1.6
CHUA CHON,+19.4,+1.6
CHUA CHON,+20.2,+1.7
CHUA CHON,+20.8,+1.3
CHUA CHON,+21.1,+1.2
CHUA CHON,+22.2,+0.7
CHUA CHON,+21.4,+1.4
CHUA CHON,+21.4,+1.5
CHUA CHON,+21.4,+1.7
CHUA CHON,+22.0,+1.0
CHUA CHON,+20.6,+2.6
CHUA CHON,+19.6,+5.4
CHUA CHON,+17.3,+5.8
CHUA CHON,+16.5,+4.2
CHUA CHON,+16.1,+4.1
CHUA CHON,+15.7,+3.9
CHUA CHON,+15.8,+3.7
CHUA CHON,+16.3,+3.6
CHUA CHON,+16.4,+3.5
CHUA CHON,+16.1,+4.2
CHUA CHON,+16.1,+3.9
CHUA CHON,+15.5,+3.7
CHUA CHON,+15.4,+4.1
CHUA CHON,+15.1,+4.3
CHUA CHON,+16.2,+4.2
CHUA CHON,+16.6,+4.8
CHUA CHON,+16.7,+5.6
CHUA CHON,+15.9,+5.7
CHUA CHON,+15.7,+6.7
CHUA CHON,+15.7,+6.4
CHUA CHON,+15.6,+6.7
CHUA CHON,+15.0,+7.1
CHUA CHON,+14.7,+7.0
CHUA CHON,+15.5,+6.6
CHUA CHON,+15.1,+7.0
CHUA CHON,+15.3,+6.9
CHUA CHON,+15.3,+7.1
CHUA CHON,+14.5,+7.5
CHUA CHON,+15.2,+7.4
CHUA CHON,+15.2,+7.3
CHUA CHON,+15.0,+7.6
CHUA CHON,+15.3,+6.9
CHUA CHON,+14.6,+7.1
CHUA CHON,+14.6,+6.8
CHUA CHON,+15.2,+7.1
CHUA CHON,+15.6,+6.5
CHUA CHON,+15.4,+8.6
CHUA CHON,+15.4,+9.9
CHUA CHON,+15.4,+9.7
CHUA CHON,+15.8,+7.8
CHUA CHON,+14.5,+9.1
CHUA CHON,+15.9,+7.7
CHUA CHON,+14.9,+8.9
CHUA CHON,+13.9,+9.3
CHUA CHON,+14.2,+9.1
CHUA CHON,+14.3,+8.8
CHUA CHON,+14.5,+7.9
CHUA CHON,+14.1,+8.3
CHUA CHON,+14.0,+8.6
CHUA CHON,+14.1,+9.7
CHUA CHON,+8.8,+7.1
CHUA CHON,-4.8,+12.0
CHUA CHON,-8.4,+19.7
CHUA CHON,-8.0,+17.6
CHUA CHON,-7.5,+6.2
CHUA CHON,-7.4,+4.8
CHUA CHON,-7.3,+5.1
CHUA CHON,-6.1,+5.6
CHUA CHON,-6.5,+5.0
CHUA CHON,-2.4,+4.0
CHUA CHON,-0.7,+4.3
CHUA CHON,-0.3,+4.5
CHUA CHON,-0.9,+5.0
CHUA CHON,-1.4,+5.6
CHUA CHON,-1.4,+5.4
CHUA CHON,-1.3,+5.4
CHUA CHON,-0.8,+4.4
CHUA CHON,-1.8,+5.2
CHUA CHON,+0.6,+4.7
CHUA CHON,+11.7,+7.2
CHUA CHON,+15.7,+5.7
CHUA CHON,+17.3,+9.5
CHUA CHON,+18.0,+11.0
CHUA CHON,+16.9,+15.5
CHUA CHON,+15.7,+18.2
CHUA CHON,+14.8,+16.2
CHUA CHON,+15.7,+19.1
CHUA CHON,+16.6,+10.1
CHUA CHON,+14.4,+5.1
CHUA CHON,+12.6,+17.0
CHUA CHON,+13.2,+16.7
CHUA CHON,+15.5,+29.1
CHUA CHON,+15.4,+22.6
CHUA CHON,+14.5,+12.6
CHUA CHON,+12.0,+7.7
CHUA CHON,+11.0,+3.9
CHUA CHON,+8.4,-0.4
CHUA CHON,+5.5,+17.9
CHUA CHON,+3.5,+28.9
CHUA CHON,+3.9,+17.8
CHUA CHON,+3.2,+15.3
CHUA CHON,+5.1,+11.5
CHUA CHON,+9.1,+11.5
CHUA CHON,+10.5,+10.0
CHUA CHON,+8.7,+8.6
CHUA CHON,+6.9,+10.5
CHUA CHON,+8.6,+11.8
CHUA CHON,+8.0,+12.5
CHUA CHON,+8.3,+9.9
CHUA CHON,+7.7,+9.4
CHUA CHON,+7.1,+10.4
1-NHIN THANG,+7.4,+9.6
1-NHIN THANG,+7.9,+8.8
1-NHIN THANG,+8.2,+8.9
1-NHIN THANG,+7.8,+8.4
1-NHIN THANG,+7.8,+9.2
1-NHIN THANG,+8.5,+9.8
1-NHIN THANG,+8.3,+8.9
1-NHIN THANG,+8.4,+9.0
1-NHIN THANG,+8.6,+8.7
1-NHIN THANG,+8.9,+8.6
1-NHIN THANG,+8.7,+10.2
1-NHIN THANG,+8.4,+8.6
1-NHIN THANG,+8.1,+8.6
1-NHIN THANG,+7.6,+9.3
1-NHIN THANG,+7.7,+8.4
1-NHIN THANG,+8.1,+7.6
1-NHIN THANG,+8.2,+9.6
1-NHIN THANG,+7.5,+12.2
1-NHIN THANG,+8.1,+11.2
1-NHIN THANG,+8.4,+11.6
1-NHIN THANG,+7.4,+10.4
1-NHIN THANG,+7.7,+10.9
1-NHIN THANG,+7.9,+8.7
1-NHIN THANG,+8.6,+8.6
2-CUI DAU,+8.9,+7.4
2-CUI DAU,+8.3,+8.6
2-CUI DAU,+24.6,+6.2
2-CUI DAU,+45.4,-6.7
2-CUI DAU,+29.4,+20.8
2-CUI DAU,+17.8,+21.3
2-CUI DAU,+13.4,+42.5
2-CUI DAU,+16.0,+26.8
2-CUI DAU,+7.8,-10.6
2-CUI DAU,+48.4,+5.7
2-CUI DAU,+52.0,+3.6
2-CUI DAU,+45.8,+6.6
2-CUI DAU,+46.8,+3.9
2-CUI DAU,+46.7,+4.3
2-CUI DAU,+46.1,+4.5
2-CUI DAU,+47.6,+3.3
2-CUI DAU,+42.8,+4.8
2-CUI DAU,+45.1,+7.4
2-CUI DAU,+42.9,+9.5
2-CUI DAU,+43.3,+8.6
2-CUI DAU,+42.2,+10.1
2-CUI DAU,+41.4,+8.7
2-CUI DAU,+35.5,+9.5
2-CUI DAU,+29.2,+9.4
2-CUI DAU,+26.3,+9.6
3-NGANG DAU,+25.5,+11.2
3-NGANG DAU,+24.4,+12.1
3-NGANG DAU,+20.2,+10.1
3-NGANG DAU,+11.3,+11.2
3-NGANG DAU,-31.4,+9.9
3-NGANG DAU,-46.8,+11.7
3-NGANG DAU,-35.4,+15.8
3-NGANG DAU,-22.7,+24.7
3-NGANG DAU,-20.7,+42.2
3-NGANG DAU,-22.5,+32.5
3-NGANG DAU,-7.5,+24.8
3-NGANG DAU,-6.6,+20.1
3-NGANG DAU,-8.1,+14.9
3-NGANG DAU,-8.8,+13.9
3-NGANG DAU,-9.9,+13.8
3-NGANG DAU,-8.9,+15.0
3-NGANG DAU,-9.3,+16.2
3-NGANG DAU,-9.6,+15.4
3-NGANG DAU,-10.7,+14.9
3-NGANG DAU,-11.2,+16.0
3-NGANG DAU,-10.8,+15.9
3-NGANG DAU,-11.6,+14.4
3-NGANG DAU,-11.6,+16.3
3-NGANG DAU,-12.0,+14.9
3-NGANG DAU,-11.2,+16.2
3-NGANG DAU,-10.2,+17.0
4-QUAY TRAI,-10.3,+15.1
4-QUAY TRAI,-5.8,+60.0
4-QUAY TRAI,+3.5,-13.8
4-QUAY TRAI,+1.0,+60.0
4-QUAY TRAI,-0.8,+60.0
4-QUAY TRAI,+1.7,+60.0
4-QUAY TRAI,+1.8,+60.0
4-QUAY TRAI,+2.5,+60.0
4-QUAY TRAI,+1.0,+60.0
4-QUAY TRAI,+6.4,+60.0
4-QUAY TRAI,+2.1,+60.0
4-QUAY TRAI,+6.9,+60.0
4-QUAY TRAI,+4.7,+60.0
4-QUAY TRAI,+3.9,+60.0
4-QUAY TRAI,+3.8,+60.0
4-QUAY TRAI,+0.5,+60.0
4-QUAY TRAI,+1.3,+60.0
4-QUAY TRAI,-1.7,+60.0
4-QUAY TRAI,-4.1,+60.0
4-QUAY TRAI,+0.4,+60.0
4-QUAY TRAI,-0.4,+41.3
4-QUAY TRAI,-0.4,+32.1
4-QUAY TRAI,-1.8,+23.1
5-QUAY PHAI,-8.9,-60.0
5-QUAY PHAI,+0.7,-60.0
5-QUAY PHAI,-4.1,-60.0
5-QUAY PHAI,-0.7,-60.0
5-QUAY PHAI,-1.3,-60.0
5-QUAY PHAI,-3.9,-60.0
5-QUAY PHAI,-3.6,-60.0
5-QUAY PHAI,-14.5,-60.0
5-QUAY PHAI,-8.1,-60.0
5-QUAY PHAI,-1.0,-60.0
5-QUAY PHAI,-5.2,-60.0
5-QUAY PHAI,-2.7,-60.0
5-QUAY PHAI,-5.6,-60.0
5-QUAY PHAI,-5.5,-60.0
5-QUAY PHAI,-5.4,-60.0
5-QUAY PHAI,+1.1,-60.0
5-QUAY PHAI,-0.2,-60.0
5-QUAY PHAI,+4.0,-60.0
5-QUAY PHAI,+0.9,-48.6
5-QUAY PHAI,+2.2,-15.9
5-QUAY PHAI,+0.8,-4.4
5-QUAY PHAI,+1.1,+0.8
5-QUAY PHAI,+0.7,+2.5
5-QUAY PHAI,+1.0,+3.9
5-QUAY PHAI,+1.9,+5.6
5-QUAY PHAI,+2.7,+9.6
5-QUAY PHAI,+3.1,+8.3
